ԱԱ	ɑ ɑ́
Ալեքսանդրիա	ɑ l e kʰ s ɑ n tʰ ɾ i j ɑ́
Ալեքսանյան	ɑ l e kʰ s ɑ n j ɑ́ n
Ալեքսիյ	ɑ l e kʰ s í j
Ալթըբարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ́ n
Ալթըբարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ́ n
Ալթըփարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ́ n
Ալթըփարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ́ n
Ալթիպարմաղյան	ɑ l tʰ i b ɑ ɾ m ɑ ʁ j ɑ́ n
Ալժիր	ɑ l ʒ í ɾ
Ալինա	ɑ l i n ɑ́
Ալինա	ɑ l í n ɑ
Ալիստեր	ɑ́ l i s t e ɾ
Ալիև	ɑ l í j e v
Ալլա	ɑ lː ɑ́
Ալլահ	ɑ lː ɑ́ h
Ալկայոս	ɑ l ɡ ɑ j ó s
Ալկիբիադես	ɑ l ɡ i pʰ i j ɑ tʰ é s
Ալկման	ɑ l ɡ m ɑ́ n
Ալկմենե	ɑ l ɡ m é n e
Ալմաթի	ɑ l m ɑ tʰ í
Ալյասկա	ɑ l j ɑ́ s k ɑ
Ալպեր	ɑ l b é ɾ
Ալջունիդ	ɑ l t͡ʃʰ u n í tʰ
Ալվարդ	ɑ l v ɑ́ ɾ tʰ
Ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ́
Ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ́ kʰ
Ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ í
Ախուրյան	ɑ χ u ɾ j ɑ́ n
Ահարոն	ɑ h ɑ ɾ ó n
Ահարոնյան	ɑ h ɑ ɾ o n j ɑ́ n
Ահրիման	ɑ h ɾ i m ɑ́ n
Աղաթոն	ɑ ʁ ɑ tʰ ó n
Աղայան	ɑ ʁ ɑ j ɑ́ n
Աղաջանյան	ɑ ʁ ɑ t͡ʃʰ ɑ n j ɑ́ n
Աղասի	ɑ ʁ ɑ s í
Աղաֆոն	ɑ ʁ ɑ f ó n
Աղդամ	ɑ χ tʰ ɑ́ m
Աղձնիք	ɑ χ t͡sʰ n í kʰ
Աղջայան	ɑ χ t͡ʃʰ ɑ j ɑ́ n
Աղվան	ɑ ʁ v ɑ́ n
Աղվանք	ɑ ʁ v ɑ́ ŋ kʰ
Աճառյան	ɑ d͡ʒ ɑ r j ɑ́ n
Աճեմյան	ɑ d͡ʒ e m j ɑ́ n
Ամազոն	ɑ m ɑ z ó n
Ամալյա	ɑ m ɑ l j ɑ́
Ամանոս	ɑ m ɑ n ó s
Ամանոր	ɑ m ɑ n ó ɾ
Ամբակում	ɑ m pʰ ɑ ɡ ú m
Ամերիկա	ɑ m e ɾ i ɡ ɑ́
Ամերիկա	ɑ m é ɾ i ɡ ɑ
Ամերիկայի	ɑ m e ɾ i ɡ ɑ j í
Ամիրան	ɑ m i ɾ ɑ́ n
Ամիրանյան	ɑ m i ɾ ɑ n j ɑ́ n
Ամիրխանյան	ɑ m i ɾ χ ɑ n j ɑ́ n
Ամիրյան	ɑ m i ɾ j ɑ́ n
Ամման	ɑ mː ɑ́ n
Ամուդարյա	ɑ m u tʰ ɑ ɾ j ɑ́
Ամուր	ɑ m ú ɾ
Ամուրի	ɑ m u ɾ í
Ամստերդամ	ɑ m s t e ɾ tʰ ɑ́ m
Այծեղջյուր	ɑ j d͡z e χ t͡ʃʰ ʏ́ ɾ
Այծեմնիկ	ɑ j d͡z e m n í ɡ
Այուբյան	ɑ j u pʰ j ɑ́ n
Այսրկովկաս	ɑ j s ə ɾ ɡ o f ɡ ɑ́ s
Այվազյան	ɑ j v ɑ z j ɑ́ n
Այրարատ	ɑ j ɾ ɑ ɾ ɑ́ d
Անադիր	ɑ n ɑ tʰ í ɾ
Անակ	ɑ n ɑ́ ɡ
Անակրեոն	ɑ n ɑ ɡ ɾ e ó n
Անահիտ	ɑ n ɑ h í d
Անանիա	ɑ n ɑ n i j ɑ́
Անաստաս	ɑ n ɑ s t ɑ́ s
Անատոլիա	ɑ n ɑ d o l i j ɑ́
Անատոլիա	ɑ n ɑ d ó l i j ɑ
Անաքսագորաս	ɑ n ɑ kʰ s ɑ kʰ o ɾ ɑ́ s
Անաքսիմանդրոս	ɑ n ɑ kʰ s i m ɑ n tʰ ɾ ó s
Անաքսիմենես	ɑ n ɑ kʰ s i m e n é s
Անգլիա	ɑ́ ŋ kʰ l i j ɑ
Անգմոկիո	ɑ ŋ kʰ m o ɡ i j ó
Անդեր	ɑ n tʰ é ɾ
Անդորա	ɑ n tʰ ó ɾ ɑ
Անդրանիկ	ɑ n tʰ ɾ ɑ n í ɡ
Անդրբայկալ	ɑ n tʰ ə ɾ pʰ ɑ j ɡ ɑ́ l
Անդրեաս	ɑ n tʰ ɾ e ɑ́ s
Անդրեասյան	ɑ n tʰ ɾ e ɑ s j ɑ́ n
Անդրիասյան	ɑ n tʰ ɾ i j ɑ s j ɑ́ n
Անդրկովկաս	ɑ n tʰ ə ɾ ɡ o f ɡ ɑ́ s
Անդրհորդանան	ɑ n tʰ ə ɾ h o ɾ tʰ ɑ n ɑ́ n
Անդրոմաքե	ɑ n tʰ ɾ o m ɑ́ kʰ e
Անթառամ	ɑ n tʰ ɑ r ɑ́ m
Անժելա	ɑ n ʒ é l ɑ
Անժու	ɑ n ʒ ú
Անի	ɑ n í
Անկարա	ɑ ŋ ɡ ɑ ɾ ɑ́
Անկոս	ɑ́ ŋ ɡ o s
Աննա	ɑ nː ɑ́
Աննա	ɑ́ nː ɑ
Անուշ	ɑ n ú ʃ
Անուշավան	ɑ n u ʃ ɑ v ɑ́ n
Անտանանարիվու	ɑ n d ɑ n ɑ n ɑ ɾ í v u
Անտարկտիկա	ɑ n d ɑ ɾ ɡ d i ɡ ɑ́
Անտարկտիկա	ɑ n d ɑ́ ɾ ɡ d i ɡ ɑ
Անտիգոնե	ɑ n d i kʰ ó n e
Անտիոք	ɑ n d i j ó kʰ
Անտիոքոս	ɑ n d i j o kʰ ó s
Անտիսթենես	ɑ n d i s tʰ é n e s
Անտիտավրոս	ɑ n d i d ɑ v ɾ ó s
Անտոնիոս	ɑ n d ó n j o s
Աշգաբատ	ɑ ʃ kʰ ɑ pʰ ɑ́ d
Աշխաբադ	ɑ ʃ χ ɑ pʰ ɑ́ tʰ
Աշխեն	ɑ ʃ χ é n
Աշոտ	ɑ ʃ ó d
Աշոտյան	ɑ ʃ o d j ɑ́ n
Աշտարակ	ɑ ʃ t ɑ ɾ ɑ́ ɡ
Աոմին	ɑ o m í n
Աուլիս	ɑ u l í s
Ապամեա	ɑ b ɑ m é ɑ
Ապարան	ɑ b ɑ ɾ ɑ́ n
Ապենիններ	ɑ b e n i nː é ɾ
Ապիրատ	ɑ b i ɾ ɑ́ d
Ապոլլոն	ɑ b o l ó n
Ապոլոն	ɑ b o l ó n
Ապոլոնիա	ɑ b o l ó n i j ɑ
Ապուլիա	ɑ b ú l i j ɑ
Ապպիանոս	ɑ bː i j ɑ n ó s
Ապպիանոս	ɑ bː i j ɑ́ n o s
Ապպիոս	ɑ bː i j ó s
Ապրես	ɑ b ɾ é s
Ապրեսյան	ɑ b ɾ e s j ɑ́ n
Աջարիա	ɑ t͡ʃʰ ɑ ɾ i j ɑ́
Առաքել	ɑ r ɑ kʰ é l
Առաքելյան	ɑ r ɑ kʰ e l j ɑ́ n
Առինջ	ɑ r í n t͡ʃʰ
Առյուծ	ɑ r ʏ́ d͡z
Առնո	ɑ r n ó
Առուշանյան	ɑ r u ʃ ɑ n j ɑ́ n
Առտիալ	ɑ r d i j ɑ́ l
Ասատուր	ɑ s ɑ d ú ɾ
Ասատուրյան	ɑ s ɑ d u ɾ j ɑ́ n
Ասատրյան	ɑ s ɑ d ə ɾ j ɑ́ n
Ասիա	ɑ́ s i j ɑ
Ասլանճյան	ɑ s l ɑ n d͡ʒ j ɑ́ n
Ասլանյան	ɑ s l ɑ n j ɑ́ n
Ասկալոն	ɑ s k ɑ l ó n
Ասկանիոս	ɑ s k ɑ́ n i j o s
Ասմարա	ɑ s m ɑ́ ɾ ɑ
Ասմերա	ɑ s m é ɾ ɑ
Ասորեստան	ɑ s o ɾ e s t ɑ́ n
Ասորիք	ɑ s o ɾ í kʰ
Ասպահան	ɑ s p ɑ h ɑ́ n
Ասպետ	ɑ s p é d
Ասսամ	ɑ sː ɑ́ m
Աստանա	ɑ s t ɑ n ɑ́
Աստղիկ	ɑ s t ʁ í ɡ
Աստվածատուր	ɑ s t v ɑ d͡z ɑ d ú ɾ
Աստրախան	ɑ s t ɾ ɑ χ ɑ́ n
Ասքանազ	ɑ s kʰ ɑ n ɑ́ z
Ավագ	ɑ v ɑ́ kʰ
Ավագյան	ɑ v ɑ kʰ j ɑ́ n
Ավանիսյան	ɑ v ɑ n i s j ɑ́ n
Ավգերյան	ɑ f kʰ e ɾ j ɑ́ n
Ավգիաս	ɑ f kʰ i j ɑ́ s
Ավգուստինոս	ɑ f kʰ u s t i n ó s
Ավետ	ɑ v é d
Ավետիս	ɑ v e d í s
Ավետիսյան	ɑ v e d i s j ɑ́ n
Ավետիք	ɑ v e d í kʰ
Ավետյան	ɑ v e d j ɑ́ n
Ավինյոն	ɑ v i n j ó n
Ավիցեննա	ɑ v i t͡sʰ é nː ɑ
Ավլիս	ɑ v l í s
Ավոգադրո	ɑ v o kʰ ɑ tʰ ɾ ó
Ավստրալիա	ɑ f s t ɾ ɑ́ l i j ɑ
Ավստրիա	ɑ́ f s t ɾ i j ɑ
Ատալիա	ɑ d ɑ l i j ɑ́
Ատալիա	ɑ d ɑ́ l i j ɑ
Ատիլիոս	ɑ d i l i j ó s
Ատոմ	ɑ d ó m
Ատրներսեհ	ɑ d ə ɾ n e ɾ s é h
Ատրպատական	ɑ d ə ɾ b ɑ d ɑ ɡ ɑ́ n
Արա	ɑ ɾ ɑ́
Արաբաջյան	ɑ ɾ ɑ pʰ ɑ t͡ʃʰ j ɑ́ n
Արաբիա	ɑ ɾ ɑ́ pʰ i j ɑ
Արագած	ɑ ɾ ɑ kʰ ɑ́ d͡z
Արագածոտն	ɑ ɾ ɑ kʰ ɑ d͡z ó d ə n
Արախա	ɑ ɾ ɑ χ ɑ́
Արածանի	ɑ ɾ ɑ d͡z ɑ n í
Արամ	ɑ ɾ ɑ́ m
Արամազդ	ɑ ɾ ɑ m ɑ́ s tʰ
Արամայիս	ɑ ɾ ɑ m ɑ j í s
Արամանյակ	ɑ ɾ ɑ m ɑ n j ɑ́ ɡ
Արամյան	ɑ ɾ ɑ m j ɑ́ n
Արայիկ	ɑ ɾ ɑ j í ɡ
Արապաճյան	ɑ ɾ ɑ b ɑ d͡ʒ j ɑ́ n
Արարատ	ɑ ɾ ɑ ɾ ɑ́ d
Արաքս	ɑ ɾ ɑ́ kʰ s
Արաքսի	ɑ ɾ ɑ kʰ s í
Արբելա	ɑ ɾ pʰ e l ɑ́
Արգամ	ɑ ɾ kʰ ɑ́ m
Արգավանդ	ɑ ɾ kʰ ɑ v ɑ́ n tʰ
Արգենտինա	ɑ ɾ kʰ e n d í n ɑ
Արգիշտի	ɑ ɾ kʰ i ʃ t í
Արգոլիս	ɑ ɾ kʰ o l í s
Արե	ɑ ɾ é
Արե	ɑ́ ɾ e
Արեգ	ɑ ɾ é kʰ
Արեգակ	ɑ ɾ e kʰ ɑ́ ɡ
Արեկիպա	ɑ ɾ e ɡ í b ɑ
Արես	ɑ ɾ é s
Արզումանյան	ɑ ɾ z u m ɑ n j ɑ́ n
Արթիկ	ɑ ɾ tʰ í ɡ
Արթունյան	ɑ ɾ tʰ u n j ɑ́ n
Արթուր	ɑ ɾ tʰ ú ɾ
Արժանթին	ɑ ɾ ʒ ɑ n tʰ í n
Արիոս	ɑ ɾ i j ó s
Արիստակես	ɑ ɾ i s t ɑ ɡ é s
Արիստակեսյան	ɑ ɾ i s t ɑ ɡ e s j ɑ́ n
Արիստոտել	ɑ ɾ i s t o d é l
Արիստոփանես	ɑ ɾ i s t o pʰ ɑ n é s
Արիստոֆան	ɑ ɾ i s t o f ɑ́ n
Արիստոֆանես	ɑ ɾ i s t o f ɑ n é s
Արխանգելսկ	ɑ ɾ χ ɑ ŋ kʰ é l s k
Արծրուն	ɑ ɾ d͡z ɾ ú n
Արծրունի	ɑ ɾ d͡z ɾ u n í
Արկադի	ɑ ɾ ɡ ɑ tʰ í
Արկադիոս	ɑ ɾ ɡ ɑ tʰ i j ó s
Արման	ɑ ɾ m ɑ́ n
Արմավիր	ɑ ɾ m ɑ v í ɾ
Արմեն	ɑ ɾ m é n
Արմենակ	ɑ ɾ m e n ɑ́ ɡ
Արմենուհի	ɑ ɾ m e n u h í
Արմին	ɑ ɾ m í n
Արմինե	ɑ ɾ m i n é
Արշալույս	ɑ ɾ ʃ ɑ l ú j s
Արշակ	ɑ ɾ ʃ ɑ́ ɡ
Արշակյան	ɑ ɾ ʃ ɑ ɡ j ɑ́ n
Արշակունի	ɑ ɾ ʃ ɑ ɡ u n í
Արշակունյաց	ɑ ɾ ʃ ɑ ɡ u n j ɑ́ t͡sʰ
Արշամ	ɑ ɾ ʃ ɑ́ m
Արշավիր	ɑ ɾ ʃ ɑ v í ɾ
Արո	ɑ ɾ ó
Արոնյան	ɑ ɾ o n j ɑ́ n
Արուսյակ	ɑ ɾ u s j ɑ́ ɡ
Արսեն	ɑ ɾ s é n
Արսենի	ɑ ɾ s é n i
Արսենյան	ɑ ɾ s e n j ɑ́ n
Արսինե	ɑ ɾ s i n é
Արսլանճյան	ɑ ɾ s l ɑ n d͡ʒ j ɑ́ n
Արսլանյան	ɑ ɾ s l ɑ n j ɑ́ n
Արտակ	ɑ ɾ d ɑ́ ɡ
Արտաշատ	ɑ ɾ d ɑ ʃ ɑ́ d
Արտաշեն	ɑ ɾ d ɑ ʃ é n
Արտաշես	ɑ ɾ d ɑ ʃ é s
Արտաշիր	ɑ ɾ d ɑ ʃ í ɾ
Արտավազդ	ɑ ɾ d ɑ v ɑ́ s tʰ
Արտավան	ɑ ɾ d ɑ v ɑ́ n
Արտեմ	ɑ ɾ d é m
Արտեմիս	ɑ ɾ d e m í s
Արտյոմ	ɑ ɾ d j ó m
Արտուքյան	ɑ ɾ d u kʰ j ɑ́ n
Արցախ	ɑ ɾ t͡sʰ ɑ́ χ
Արքիլոքոս	ɑ ɾ kʰ i l o kʰ ó s
Արքիմեդ	ɑ ɾ kʰ i m é tʰ
Արև	ɑ ɾ é v
Արևելք	ɑ ɾ e v é l kʰ
Արևմուտք	ɑ ɾ e v m ú t kʰ
Ափրիկե	ɑ pʰ ɾ i ɡ é
Ափրոդիտե	ɑ pʰ ɾ o tʰ i d é
Աքայա	ɑ kʰ ɑ́ j ɑ
Աքեմենյան	ɑ kʰ e m e n j ɑ́ n
Աքիլես	ɑ kʰ i l é s
Աքիլլես	ɑ kʰ i lː é s
Աքքա	ɑ kʰː ɑ́
Աֆանասի	ɑ f ɑ n ɑ́ s i
Աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ́ n
Աֆրիկա	ɑ́ f ɾ i ɡ ɑ
Աֆրոդիտե	ɑ f ɾ o tʰ i d é
Բ	pʰ ə
ԲԴԽ	pʰ ə tʰ ə χ ə́
ԲՀԿ	pʰ ə h ə ɡ ə́
ԲՈՒՀ	pʰ u h
Բաալբեկ	pʰ ɑ ɑ l pʰ é ɡ
Բաբախանյան	pʰ ɑ pʰ ɑ χ ɑ n j ɑ́ n
Բաբայան	pʰ ɑ pʰ ɑ j ɑ́ n
Բաբաջանյան	pʰ ɑ pʰ ɑ t͡ʃʰ ɑ n j ɑ́ n
Բաբելոն	pʰ ɑ pʰ e l ó n
Բաբլոյան	pʰ ɑ pʰ l o j ɑ́ n
Բաբկեն	pʰ ɑ pʰ k é n
Բագարատ	pʰ ɑ kʰ ɑ ɾ ɑ́ d
Բագրատ	pʰ ɑ kʰ ɾ ɑ́ d
Բագրատյան	pʰ ɑ kʰ ɾ ɑ d j ɑ́ n
Բագրատունի	pʰ ɑ kʰ ɾ ɑ d u n í
Բագրատունյաց	pʰ ɑ kʰ ɾ ɑ d u n j ɑ́ t͡sʰ
Բադալյան	pʰ ɑ tʰ ɑ l j ɑ́ n
Բադարա	pʰ ɑ tʰ ɑ ɾ ɑ́
Բադրուպանյան	pʰ ɑ tʰ ɾ u b ɑ n j ɑ́ n
Բազարդյուզյու	pʰ ɑ z ɑ ɾ tʰ ʏ z ʏ́
Բազոյան	pʰ ɑ z o j ɑ́ n
Բաթու	pʰ ɑ tʰ ú
Բաթում	pʰ ɑ tʰ ú m
Բաթումի	pʰ ɑ tʰ ú m i
Բալայան	pʰ ɑ l ɑ j ɑ́ n
Բալկաններ	pʰ ɑ l ɡ ɑ nː é ɾ
Բալջյան	pʰ ɑ l t͡ʃʰ j ɑ́ n
Բախչիսարայ	pʰ ɑ χ t͡ʃʰ i s ɑ ɾ ɑ́ j
Բակալյան	pʰ ɑ ɡ ɑ l j ɑ́ n
Բակո	pʰ ɑ ɡ ó
Բակունց	pʰ ɑ ɡ ú n t͡sʰ
Բակուր	pʰ ɑ ɡ ú ɾ
Բակքիլիդես	pʰ ɑ kʰː i l i tʰ é s
Բահամներ	pʰ ɑ h ɑ m n é ɾ
Բահրեյն	pʰ ɑ h ɾ é j n
Բաղդադ	pʰ ɑ χ tʰ ɑ́ tʰ
Բաղդասար	pʰ ɑ χ tʰ ɑ s ɑ́ ɾ
Բաղդասարյան	pʰ ɑ χ tʰ ɑ s ɑ ɾ j ɑ́ n
Բաղրամյան	pʰ ɑ ʁ ɾ ɑ m j ɑ́ n
Բամակո	pʰ ɑ m ɑ ɡ ó
Բամակո	pʰ ɑ m ɑ́ ɡ o
Բայբարս	pʰ ɑ j pʰ ɑ́ ɾ s
Բայկալ	pʰ ɑ j ɡ ɑ́ l
Բանգալուր	pʰ ɑ ŋ kʰ ɑ l ú ɾ
Բանգլադեշ	pʰ ɑ ŋ kʰ l ɑ tʰ é ʃ
Բանդունգ	pʰ ɑ n tʰ ú ŋ kʰ
Բանջուլ	pʰ ɑ n t͡ʃʰ ú l
Բառնաբաս	pʰ ɑ r n ɑ pʰ ɑ́ s
Բառնաուլ	pʰ ɑ r n ɑ ú l
Բասմաջյան	pʰ ɑ s m ɑ t͡ʃʰ j ɑ́ n
Բավարիա	pʰ ɑ v ɑ ɾ i j ɑ́
Բավարիա	pʰ ɑ v ɑ́ ɾ i j ɑ
Բատ	pʰ ɑ d
Բարաք	pʰ ɑ ɾ ɑ́ kʰ
Բարբադոս	pʰ ɑ ɾ pʰ ɑ tʰ ó s
Բարդախչյան	pʰ ɑ ɾ tʰ ɑ χ t͡ʃʰ j ɑ́ n
Բարդակչյան	pʰ ɑ ɾ tʰ ɑ kʰ t͡ʃʰ j ɑ́ n
Բարդուղիմեոս	pʰ ɑ ɾ tʰ u ʁ i m e ó s
Բարդույթ	pʰ ɑ ɾ tʰ ú j tʰ
Բարխուդար	pʰ ɑ ɾ χ u tʰ ɑ́ ɾ
Բարխուդարյան	pʰ ɑ ɾ χ u tʰ ɑ ɾ j ɑ́ n
Բարութչյան	pʰ ɑ ɾ u tʰ t͡ʃʰ j ɑ́ n
Բարսեղ	pʰ ɑ ɾ s é ʁ
Բարսեղյան	pʰ ɑ ɾ s e ʁ j ɑ́ n
Բաքոս	pʰ ɑ kʰ ó s
Բաքու	pʰ ɑ kʰ ú
Բեգլարյան	pʰ e kʰ l ɑ ɾ j ɑ́ n
Բեդոկ	pʰ e tʰ ó ɡ
Բեթղեհեմ	pʰ e tʰ χ e h é m
Բել	pʰ e l
Բելառուս	pʰ e l ɑ r ú s
Բելգիա	pʰ é l kʰ i j ɑ
Բելգրադ	pʰ e l kʰ ɾ ɑ́ tʰ
Բելիզ	pʰ e l í z
Բելիսարիոս	pʰ e l i s ɑ ɾ i j ó s
Բելմոպան	pʰ e l m o b ɑ́ n
Բելուջստան	pʰ e l u t͡ʃʰ ə s t ɑ́ n
Բեկյան	pʰ e ɡ j ɑ́ n
Բեհեղզեբուղ	pʰ e h e ʁ z e pʰ ú ʁ
Բենգալուրու	pʰ e ŋ kʰ ɑ l u ɾ ú
Բենիամին	pʰ e n j ɑ m í n
Բենիլյուքս	pʰ e n i l ʏ́ kʰ s
Բենին	pʰ e n í n
Բեովտիա	pʰ e ó v d i j ɑ
Բեռն	pʰ e r n
Բեսարաբիա	pʰ e s ɑ ɾ ɑ́ pʰ i j ɑ
Բերբերյան	pʰ e ɾ pʰ e ɾ j ɑ́ n
Բիբլոս	pʰ i pʰ l ó s
Բիբուլոս	pʰ i pʰ u l ó s
Բիհար	pʰ i h ɑ́ ɾ
Բիշան	pʰ i ʃ ɑ́ n
Բիշկեկ	pʰ i ʃ k é ɡ
Բիշքեկ	pʰ i ʃ kʰ é ɡ
Բիչախչյան	pʰ i t͡ʃʰ ɑ χ t͡ʃʰ j ɑ́ n
Բիրմա	pʰ í ɾ m ɑ
Բիրմինգամ	pʰ í ɾ m i ŋ kʰ ɑ m
Բիրմինգհեմ	pʰ í ɾ m i ŋ kʰ h e m
Բիրմինհամ	pʰ í ɾ m i n h ɑ m
Բիրոբիջան	pʰ i ɾ o pʰ i t͡ʃʰ ɑ́ n
Բլագովեշչենսկ	pʰ l ɑ kʰ o v e ʃ t͡ʃʰ é n s k
Բյուզանդիա	pʰ ʏ z ɑ́ n tʰ i j ɑ
Բյուզանդիոն	pʰ ʏ z ɑ n tʰ j ó n
Բյութանիա	pʰ ʏ tʰ ɑ n i j ɑ́
Բոգոտա	pʰ o kʰ o d ɑ́
Բոզաջյան	pʰ o z ɑ t͡ʃʰ j ɑ́ n
Բոլոնիա	pʰ o l ó n i j ɑ
Բոհեմիա	pʰ o h é m i j ɑ
Բոհեմունդ	pʰ o h e m ú n tʰ
Բոյաջյան	pʰ o j ɑ t͡ʃʰ j ɑ́ n
Բոսնիա	pʰ ó s n i j ɑ
Բոսֆոր	pʰ o s f ó ɾ
Բոտոշան	pʰ o d o ʃ ɑ́ n
Բորանյան	pʰ o ɾ ɑ n j ɑ́ n
Բորժոմ	pʰ o ɾ ʒ ó m
Բորժոմի	pʰ o ɾ ʒ ó m i
Բուդապեշտ	pʰ u tʰ ɑ b é ʃ t
Բուդաքյան	pʰ u tʰ ɑ kʰ j ɑ́ n
Բութան	pʰ u tʰ ɑ́ n
Բութանիա	pʰ u tʰ ɑ n i j ɑ́
Բուժումբուրա	pʰ u ʒ u m pʰ ú ɾ ɑ
Բուլղարիա	pʰ u l ʁ ɑ́ ɾ i j ɑ
Բուխարա	pʰ u χ ɑ ɾ ɑ́
Բուխարեստ	pʰ u χ ɑ ɾ é s t
Բուրգունդիա	pʰ u ɾ kʰ ú n tʰ i j ɑ
Բրահմա	pʰ ɾ ɑ h m ɑ́
Բրատիսլավա	pʰ ɾ ɑ d i s l ɑ́ v ɑ
Բրեժնև	pʰ ə ɾ é ʒ n e v
Բրեժնև	pʰ ɾ é ʒ n e v
Բրետան	pʰ ɾ e d ɑ́ n
Բրիտանիա	pʰ ɾ i d ɑ́ n i j ɑ
Բրյանսկ	pʰ ɾ j ɑ n s k
